id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
92,Data Structures: An Illustrative Introduction,https://www.udemy.com/course/data-structures-an-illustrative-introduction/,Learn everything you need to know about most common <strong>data</strong> <strong>structures</strong> with this illustrated series.,4.7,5250,1.5,11,Beginner,0,0
93,Complexity Theory - Running Time Analysis of Algorithms,https://www.udemy.com/course/complexity-theory-basics/,"Learn Asymptotic Complexity, Running Times Analysis (O, Ω, θ) and Complexity Classes (P and NP)",4.6,52327,2.0,18,All Levels,0,0
94,Python,https://www.udemy.com/course/python-programming-super-fast-the-highest-quality/,Python,2.5,540,,,All Levels,0,0
95,Certified Entry-Level Python Programmer (PCEP),https://www.udemy.com/course/certified-entry-level-python-programmer-pcep/,Certified Entry-Level Python Programmer (PCEP) Introductory Course with Python <strong>Data</strong> analytics and Python <strong>Algorithms</strong>.,3.3,537,,13,Beginner,0,0
96,Data Structure - Part I,https://www.udemy.com/course/data-structures-part-1-lognacademy/,"Design, implementation and analysis of basic <strong>data</strong> <strong>structures</strong> using Java language.",4.6,51274,5.5,31,All Levels,0,0
97,Python Q/A to crack Interview,https://www.udemy.com/course/python-qa-to-crack-interview-n/,Python Interview Question and Answer,4.0,54,1.5,5,Beginner,0,0
98,Data Structures Concepts & Singly Linked List Implementation,https://www.udemy.com/course/data-structures-in-c/,<strong>Data</strong> <strong>Structures</strong> Concepts & Singly Linked List Implementation,3.9,52072,1.5,33,All Levels,0,0
99,DataStructures and Algorithms:Zero to Hero,https://www.udemy.com/course/datastructures-and-algorithmszero-to-hero/,"Linkedlist,Stack,Queue,Trees,Graphs,Hashing",4.7,5321,2.0,11,All Levels,0,0
100,Searching and Sorting Techniques,https://www.udemy.com/course/searching-and-sorting-techniques/,Basic <strong>Algorithms</strong> and examples,4.0,538,,6,Beginner,0,0
101,Divide and Conquer: Computing Algorithm Design Strategy,https://www.udemy.com/course/divide-and-conquer-computing-algorithm-design-strategy/,"Divide and Conquer, Introduction Control Abstraction, Binary search <strong>algorithm</strong>, quicksort <strong>algorithm</strong>, merge sort <strong>algorithm</strong>",4.1,520,,5,Beginner,0,0
